acl 2.2.53-3
libproxy 0.4.15+33+g454a499-2
libpsl 0.21.0-2
libpulse 13.0-3
libqmi 1.26.2-1
libraqm 0.7.0-2
libraw1394 2.1.2-3
librsvg 2:2.48.8-1
libsamplerate 0.1.9-3
libsasl 2.1.27-3
libseccomp 2.4.2-1
libsecret 0.20.3-1
libsigsegv 2.12-2
libsm 1.2.3-2
libsndfile 1.0.28-3
libsodium 1.0.18-2
libsoup 2.70.0-1
libsoxr 0.1.3-2
libspectre 0.2.9-1
libssh 0.9.4-1
libssh2 1.9.0-2
libsynctex 2020.54586-4
libtasn1 4.16.0-1
libteam 1.31-1
libthai 0.1.28-2
libtheora 1.1.1-5
libtiff 4.1.0-2
libtirpc 1.2.6-1
libtool 2.4.6+42+gb88cebd5-13
libunistring 0.9.10-2
libunwind 1.3.1-2
libusb 1.0.23-2
libusb-compat 0.1.7-1
libutempter 1.2.1-1
libutil-linux 2.36-1
libuv 1.38.1-1
libva 2.8.0-1
libvdpau 1.4-1
libvorbis 1.3.7-2
libvpx 1.9.0-1
libwacom 1.4.1-1
libwebp 1.1.0-1
libx11 1.6.10-2
libxau 1.0.9-3
libxaw 1.0.13-3
libxcb 1.14-1
libxcomposite 0.4.5-3
libxcursor 1.2.0-2
libxdamage 1.1.5-3
libxdmcp 1.1.3-3
libxext 1.3.4-3
libxfixes 5.0.3-4
libxft 2.3.3-2
libxi 1.7.10-3
libxinerama 1.1.4-3
libxkbcommon 0.10.0-1
libxkbcommon-x11 0.10.0-1
libxml2 2.9.10-2
libxmu 1.1.3-2
libxp 1.0.3-4
libxpm 3.5.13-2
libxrandr 1.5.2-3
libxrender 0.9.10-4
libxshmfence 1.3-2
libxslt 1.1.34-5
libxss 1.2.3-3
libxt 1.2.0-2
libxtst 1.2.3-4
libxv 1.0.11-4
libxxf86vm 1.1.4-4
libyaml 0.2.5-1
libzip 1.6.1-2
licenses 20200427-1
linux-api-headers 5.6.11-1
linux-firmware 20200721.2b823fc-1
linux-headers 5.7.12.arch1-1
linux-lts 5.4.55-1
linux-lts-headers 5.4.55-1
llvm-libs 10.0.1-1
lm_sensors 3.6.0-2
lmdb 0.9.25-1
lolcat 100.0.0-2
lsof 4.93.2-3
lua 5.4.0-2
lz4 1:1.9.2-2
lzo 2.10-3
m4 1.4.18-3
mailcap 2.1.49-1
make 4.3-3
man-db 2.9.3-1
man-pages 5.07-1
mariadb-libs 10.4.13-1
md4c 0.4.4-1
mesa 20.1.5-1
minicom 2.7.1-4
miniupnpc 2.1.20191224-1
mkinitcpio 28-1
mkinitcpio-busybox 1.31.1-1
mlocate 0.26.git.20170220-3
mobile-broadband-provider-info 20190618-2
modemmanager 1.14.0-1
mpfr 4.0.2-2
mtdev 1.1.6-1
ncurses 6.2-1
neofetch 7.1.0-1
net-tools 1.60.20181103git-2
nettle 3.6-1
networkmanager 1.26.0-1
nginx 1.18.0-1
nmap 7.80-3
npth 1.6-2
nspr 4.27-1
nss 3.55-2
ntfs-3g 2017.3.23-4
oath-toolkit 2.6.2-8
onedrive-abraunegg 2.4.3-3
oniguruma 6.9.5_rev1-1
opencore-amr 0.1.5-4
openjpeg2 2.3.1-2
openmotif 2.3.8-2
openssh 8.3p1-3
openssl 1.1.1.g-2
opus 1.3.1-2
orc 0.4.31-2
p11-kit 0.23.20-5
pacman 5.2.2-1
pacman-contrib 1.4.0-1
pacman-mirrorlist 20200801-1
pam 1.3.1-2
pambase 20190105.1-2
pango 1:1.44.7+11+g73b46b04-1
patch 2.7.6-8
pciutils 3.7.0-1
pcre 8.44-1
pcre2 10.35-1
perl 5.32.0-1
perl-error 0.17029-2
perl-file-which 1.23-4
perl-mailtools 2.21-4
perl-parse-yapp 1.21-3
perl-timedate 2.33-2
php 7.4.9-1
php-fpm 7.4.9-1
pinentry 1.1.0-5
pixman 0.40.0-1
pkgconf 1.7.3-1
polkit 0.117-1
poppler 0.90.1-1
poppler-glib 0.90.1-1
popt 1.18-1
potrace 1.16-2
ppp 2.4.7-7
procps-ng 3.3.16-2
proxychains-ng 4.14-2
psmisc 23.3-2
python 3.8.5-1
python-appdirs 1.4.4-1
python-beautifulsoup4 4.9.1-1
python-colorama 0.4.3-1
python-cycler 0.10.0-6
python-dateutil 2.8.1-3
python-kiwisolver 1.2.0-1
python-matplotlib 3.3.0-3
python-numpy 1.19.1-1
python-ordered-set 4.0.2-1
python-packaging 20.4-1
python-pandas 1.1.0-1
python-pillow 7.2.0-1
python-pyparsing 2.4.7-1
python-pyserial 3.4-4
python-pytz 2020.1-1
python-scipy 1.5.2-1
python-setuptools 1:49.2.1-1
python-six 1.15.0-1
python-soupsieve 2.0.1-1
python-termcolor 1.1.0-8
python2 2.7.18-1
python2-appdirs 1.4.4-1
python2-ordered-set 3.1.1-3
python2-packaging 20.4-1
python2-pyparsing 2.4.7-1
python2-setuptools 2:44.1.1-1
python2-six 1.15.0-1
qhull 2020.1-1
qt5-base 5.15.0-4
qt5-svg 5.15.0-1
rav1e 0.3.3-1
readline 8.0.004-1
rest 0.8.1-3
rhash 1.3.9-2
rtl8821cu-dkms-git 5.4.18193b04bf-1
ruby 2.7.1-2
ruby-diff-lcs 1.4.4-1
ruby-irb 1.2.4-1
ruby-manpages 0.6.1-3
ruby-optimist 3.0.0-2
ruby-paint 2.1.0-2
